Date,SHEL,CVX,BP,XOM,XEL,TSLA,IBDRY,JKS
2017-03-06 00:00:00-05:00,39.71843338,88.25096893,24.28934669,61.91306686,36.97123718,16.74733353,21.16751289,15.63000011
2017-03-07 00:00:00-05:00,39.53752899,87.19044495,24.2178421,61.68133926,37.14075089,16.57266617,21.23817825,15.55000019
2017-03-08 00:00:00-05:00,38.48218536,85.4748764,23.8174305,60.56761169,36.48811722,16.45800018,21.05759621,15.30000019
2017-03-09 00:00:00-05:00,38.70078278,85.81018829,23.95328522,61.0459938,36.50507355,16.32666779,21.3559494,15.07999992
2017-03-10 00:00:00-05:00,39.00231934,86.25467682,24.54675674,61.00114059,36.86952972,16.24600029,21.16751289,15.48999977
2017-03-11 00:00:00-05:00,39.00231934,86.25467682,24.54675674,61.00114059,36.86952972,16.24600029,21.16751289,15.48999977
2017-03-12 00:00:00-05:00,39.00231934,86.25467682,24.54675674,61.00114059,36.86952972,16.24600029,21.16751289,15.48999977
2017-03-13 00:00:00-04:00,39.1907692,85.27210999,24.36084557,60.85913467,36.94644547,16.41133308,21.09685135,15.81000042
2017-03-14 00:00:00-04:00,38.40680695,83.72029877,23.90323257,60.53771591,36.96354294,17.20000076,20.9319725,16.02000046
2017-03-15 00:00:00-04:00,39.25861359,84.90560913,24.15348625,61.29265976,37.64726257,17.04866791,21.1518116,17.07999992
2017-03-16 00:00:00-04:00,39.51490784,84.11019135,24.32509422,61.34498215,37.24557495,17.46999931,21.53653336,17.45999908
2017-03-17 00:00:00-04:00,39.72597885,83.96983337,24.51100159,61.29265976,37.47633362,17.43333244,21.68571091,16.92000008
2017-03-18 00:00:00-04:00,39.72597885,83.96983337,24.51100159,61.29265976,37.47633362,17.43333244,21.68571091,16.92000008
2017-03-19 00:00:00-04:00,39.72597885,83.96983337,24.51100159,61.29265976,37.47633362,17.43333244,21.68571091,16.92000008
2017-03-20 00:00:00-04:00,39.50737381,83.95423889,24.44664574,61.29265976,37.2541275,17.46133232,21.55223656,16.56999969
